bag_time_ns,bag_time_sec,version_h,version_l,bms_status,soc,current,cycle,bq_ntc,mcu_ntc,cell_vol
1780471462373393329,1780471462.373393297,1,4,1,42,-9129,62,"[43,42]","[36,38]","[3424,3520,32,32,3520,3456,3552,32,32,3520]"
1780471462392849542,1780471462.392849445,1,4,1,42,-9146,62,"[43,42]","[36,38]","[3488,3552,32,32,3488,3520,3552,32,32,3552]"
1780471462412813047,1780471462.412812948,1,4,1,42,-9146,62,"[43,42]","[36,38]","[3488,3552,32,32,3488,3520,3552,32,32,3552]"
1780471462432900046,1780471462.432899952,1,4,1,42,-9146,62,"[43,42]","[36,38]","[3488,3552,32,32,3488,3520,3552,32,32,3552]"
1780471462452898208,1780471462.452898264,1,4,1,42,-9146,62,"[43,42]","[36,38]","[3488,3552,32,32,3488,3520,3552,32,32,3552]"
1780471462472999704,1780471462.472999811,1,4,1,42,-9146,62,"[43,42]","[36,38]","[3488,3552,32,32,3488,3520,3552,32,32,3552]"
1780471462492908197,1780471462.492908239,1,4,1,42,-9146,62,"[43,42]","[36,38]","[3488,3552,32,32,3488,3520,3552,32,32,3552]"
1780471462513563131,1780471462.513563156,1,4,1,42,-9146,62,"[43,42]","[36,38]","[3488,3552,32,32,3488,3520,3552,32,32,3552]"
1780471462533627568,1780471462.533627510,1,4,1,42,-9146,62,"[43,42]","[36,38]","[3488,3552,32,32,3488,3520,3552,32,32,3552]"
1780471462554126590,1780471462.554126501,1,4,1,42,-9146,62,"[43,42]","[36,38]","[3488,3552,32,32,3488,3520,3552,32,32,3552]"
1780471462575018400,1780471462.575018406,1,4,1,42,-9146,62,"[43,42]","[36,38]","[3488,3552,32,32,3488,3520,3552,32,32,3552]"
1780471462593395131,1780471462.593395233,1,4,1,42,-9146,62,"[43,42]","[36,38]","[3488,3552,32,32,3488,3520,3552,32,32,3552]"
1780471462613295144,1780471462.613295078,1,4,1,42,-9146,62,"[43,42]","[36,38]","[3488,3552,32,32,3488,3520,3552,32,32,3552]"
1780471462633379615,1780471462.633379698,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462653698370,1780471462.653698444,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462673878846,1780471462.673878908,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462694269446,1780471462.694269419,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462713232192,1780471462.713232279,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462733473344,1780471462.733473301,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462753626362,1780471462.753626347,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462772872004,1780471462.772871971,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462793048704,1780471462.793048620,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462813122550,1780471462.813122511,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462832919838,1780471462.832919836,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462853150748,1780471462.853150845,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462873501698,1780471462.873501778,1,4,1,42,-9248,62,"[43,42]","[36,38]","[3488,3488,32,32,3552,3520,3488,32,32,3456]"
1780471462892971575,1780471462.892971516,1,4,1,42,-9282,62,"[43,42]","[36,39]","[3552,3488,32,32,3488,3552,3456,32,32,3488]"
1780471462913228056,1780471462.913228035,1,4,1,42,-9282,62,"[43,42]","[36,39]","[3552,3488,32,32,3488,3552,3456,32,32,3488]"
1780471462934005620,1780471462.934005737,1,4,1,42,-9282,62,"[43,42]","[36,39]","[3552,3488,32,32,3488,3552,3456,32,32,3488]"
1780471462953311105,1780471462.953311205,1,4,1,42,-9282,62,"[43,42]","[36,39]","[3552,3488,32,32,3488,3552,3456,32,32,3488]"
1780471462972957184,1780471462.972957134,1,4,1,42,-9282,62,"[43,42]","[36,39]","[3552,3488,32,32,3488,3552,3456,32,32,3488]"
1780471462993201856,1780471462.993201971,1,4,1,42,-9282,62,"[43,42]","[36,39]","[3552,3488,32,32,3488,3552,3456,32,32,3488]"
1780471463013345594,1780471463.013345480,1,4,1,42,-9282,62,"[43,42]","[36,39]","[3552,3488,32,32,3488,3552,3456,32,32,3488]"
1780471463032944343,1780471463.032944441,1,4,1,42,-9282,62,"[43,42]","[36,39]","[3552,3488,32,32,3488,3552,3456,32,32,3488]"
1780471463053542857,1780471463.053542852,1,4,1,42,-9282,62,"[43,42]","[36,39]","[3552,3488,32,32,3488,3552,3456,32,32,3488]"
1780471463073594527,1780471463.073594570,1,4,1,42,-9282,62,"[43,42]","[36,39]","[3552,3488,32,32,3488,3552,3456,32,32,3488]"
1780471463093345316,1780471463.093345404,1,4,1,42,-9282,62,"[43,42]","[36,39]","[3552,3488,32,32,3488,3552,3456,32,32,3488]"
1780471463113175629,1780471463.113175631,1,4,1,42,-9282,62,"[43,42]","[36,39]","[3552,3488,32,32,3488,3552,3456,32,32,3488]"
1780471463133905543,1780471463.133905649,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463152974600,1780471463.152974606,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463172880085,1780471463.172880173,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463193229499,1780471463.193229437,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463213027458,1780471463.213027477,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463232915919,1780471463.232915878,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463253181776,1780471463.253181696,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463272867281,1780471463.272867203,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463292998315,1780471463.292998314,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463313305806,1780471463.313305855,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463332999440,1780471463.332999468,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463353509790,1780471463.353509903,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463373390250,1780471463.373390198,1,4,1,42,-8551,62,"[43,42]","[36,38]","[3520,3488,32,32,3520,3552,3520,32,32,3424]"
1780471463392958054,1780471463.392958164,1,4,1,42,-9996,62,"[43,42]","[36,38]","[3552,3488,32,32,3424,3584,3520,32,32,3424]"
1780471463413248232,1780471463.413248301,1,4,1,42,-9996,62,"[43,42]","[36,38]","[3552,3488,32,32,3424,3584,3520,32,32,3424]"
1780471463432980812,1780471463.432980776,1,4,1,42,-9996,62,"[43,42]","[36,38]","[3552,3488,32,32,3424,3584,3520,32,32,3424]"
1780471463453006176,1780471463.453006268,1,4,1,42,-9996,62,"[43,42]","[36,38]","[3552,3488,32,32,3424,3584,3520,32,32,3424]"
1780471463473006515,1780471463.473006487,1,4,1,42,-9996,62,"[43,42]","[36,38]","[3552,3488,32,32,3424,3584,3520,32,32,3424]"
1780471463493251154,1780471463.493251085,1,4,1,42,-9996,62,"[43,42]","[36,38]","[3552,3488,32,32,3424,3584,3520,32,32,3424]"
1780471463513049786,1780471463.513049841,1,4,1,42,-9996,62,"[43,42]","[36,38]","[3552,3488,32,32,3424,3584,3520,32,32,3424]"
1780471463532887620,1780471463.532887697,1,4,1,42,-9996,62,"[43,42]","[36,38]","[3552,3488,32,32,3424,3584,3520,32,32,3424]"
1780471463553335535,1780471463.553335428,1,4,1,42,-9996,62,"[43,42]","[36,38]","[3552,3488,32,32,3424,3584,3520,32,32,3424]"
1780471463572948109,1780471463.572948217,1,4,1,42,-9996,62,"[43,42]","[36,38]","[3552,3488,32,32,3424,3584,3520,32,32,3424]"
1780471463593446330,1780471463.593446255,1,4,1,42,-9996,62,"[43,42]","[36,38]","[3552,3488,32,32,3424,3584,3520,32,32,3424]"
1780471463614223254,1780471463.614223242,1,4,1,42,-9996,62,"[43,42]","[36,38]","[3552,3488,32,32,3424,3584,3520,32,32,3424]"
1780471463633928505,1780471463.633928537,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463653363021,1780471463.653362989,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463672948905,1780471463.672948837,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463693002847,1780471463.693002939,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463713057716,1780471463.713057756,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463733044966,1780471463.733044863,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463753126557,1780471463.753126621,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463772925253,1780471463.772925138,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463792958233,1780471463.792958260,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463812973901,1780471463.812973976,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463833276080,1780471463.833276033,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463853018772,1780471463.853018761,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463873224498,1780471463.873224497,1,4,1,42,-8704,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3584,32,32,3488]"
1780471463893037307,1780471463.893037319,1,4,1,41,-9690,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3552,32,32,3488]"
1780471463913384256,1780471463.913384199,1,4,1,41,-9690,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3552,32,32,3488]"
1780471463933254411,1780471463.933254480,1,4,1,41,-9690,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3552,32,32,3488]"
1780471463953490123,1780471463.953490019,1,4,1,41,-9690,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3552,32,32,3488]"
1780471463972961281,1780471463.972961187,1,4,1,41,-9690,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3552,32,32,3488]"
1780471463993258531,1780471463.993258476,1,4,1,41,-9690,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3552,32,32,3488]"
1780471464013057547,1780471464.013057470,1,4,1,41,-9690,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3552,32,32,3488]"
1780471464033000539,1780471464.033000469,1,4,1,41,-9690,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3552,32,32,3488]"
1780471464053038896,1780471464.053038836,1,4,1,41,-9690,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3552,32,32,3488]"
1780471464073504700,1780471464.073504686,1,4,1,41,-9690,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3552,32,32,3488]"
1780471464093229696,1780471464.093229771,1,4,1,41,-9690,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3552,32,32,3488]"
1780471464113152974,1780471464.113152981,1,4,1,41,-9690,62,"[43,42]","[36,39]","[3552,3520,32,32,3424,3520,3552,32,32,3488]"
1780471464133535670,1780471464.133535624,1,4,1,41,-9248,62,"[43,42]","[36,39]","[3488,3552,32,32,3392,3488,3584,32,32,3552]"
1780471464152930536,1780471464.152930498,1,4,1,41,-9248,62,"[43,42]","[36,39]","[3488,3552,32,32,3392,3488,3584,32,32,3552]"
1780471464173257612,1780471464.173257589,1,4,1,41,-9248,62,"[43,42]","[36,39]","[3488,3552,32,32,3392,3488,3584,32,32,3552]"
1780471464192981200,1780471464.192981243,1,4,1,41,-9248,62,"[43,42]","[36,39]","[3488,3552,32,32,3392,3488,3584,32,32,3552]"
1780471464213413338,1780471464.213413239,1,4,1,41,-9248,62,"[43,42]","[36,39]","[3488,3552,32,32,3392,3488,3584,32,32,3552]"
1780471464233648250,1780471464.233648300,1,4,1,41,-9248,62,"[43,42]","[36,39]","[3488,3552,32,32,3392,3488,3584,32,32,3552]"
1780471464253221334,1780471464.253221273,1,4,1,41,-9248,62,"[43,42]","[36,39]","[3488,3552,32,32,3392,3488,3584,32,32,3552]"
1780471464273868139,1780471464.273868084,1,4,1,41,-9248,62,"[43,42]","[36,39]","[3488,3552,32,32,3392,3488,3584,32,32,3552]"
1780471464293154232,1780471464.293154240,1,4,1,41,-9248,62,"[43,42]","[36,39]","[3488,3552,32,32,3392,3488,3584,32,32,3552]"
