bag_time_ns,bag_time_sec,data
1780471462346407272,1780471462.346407175,True
1780471462356623756,1780471462.356623650,True
1780471462366139820,1780471462.366139889,True
1780471462376012510,1780471462.376012564,True
1780471462386213442,1780471462.386213541,True
1780471462396133047,1780471462.396132946,True
1780471462405986440,1780471462.405986547,True
1780471462416271632,1780471462.416271687,True
1780471462426072991,1780471462.426073074,True
1780471462436243521,1780471462.436243534,True
1780471462445953419,1780471462.445953369,True
1780471462456367066,1780471462.456367016,True
1780471462466248941,1780471462.466248989,True
1780471462475991896,1780471462.475991964,True
1780471462485930798,1780471462.485930681,True
1780471462496010604,1780471462.496010542,True
1780471462506407386,1780471462.506407499,True
1780471462516973106,1780471462.516973019,True
1780471462525940084,1780471462.525940180,True
1780471462536281983,1780471462.536282063,True
1780471462546722800,1780471462.546722889,True
1780471462556213742,1780471462.556213856,True
1780471462566458868,1780471462.566458941,True
1780471462576738684,1780471462.576738596,True
1780471462586603118,1780471462.586603165,True
1780471462596272950,1780471462.596272945,True
1780471462605964894,1780471462.605964899,True
1780471462616623227,1780471462.616623163,True
1780471462627270679,1780471462.627270699,True
1780471462636390177,1780471462.636390209,True
1780471462646578148,1780471462.646578074,True
1780471462656260044,1780471462.656260014,True
1780471462666328649,1780471462.666328669,True
1780471462676591184,1780471462.676591158,True
1780471462686283065,1780471462.686283112,True
1780471462696616484,1780471462.696616411,True
1780471462706124835,1780471462.706124783,True
1780471462716579188,1780471462.716579199,True
1780471462726202393,1780471462.726202488,True
1780471462736600200,1780471462.736600161,True
1780471462746453337,1780471462.746453285,True
1780471462756619035,1780471462.756618977,True
1780471462765972625,1780471462.765972614,True
1780471462776032014,1780471462.776031971,True
1780471462785976900,1780471462.785976887,True
1780471462796136326,1780471462.796136379,True
1780471462806241349,1780471462.806241274,True
1780471462816172826,1780471462.816172838,True
1780471462826831543,1780471462.826831579,True
1780471462836103113,1780471462.836103201,True
1780471462846035742,1780471462.846035719,True
1780471462856062105,1780471462.856062174,True
1780471462866162807,1780471462.866162777,True
1780471462876654795,1780471462.876654863,True
1780471462886541182,1780471462.886541128,True
1780471462896136129,1780471462.896136045,True
1780471462906002035,1780471462.906002045,True
1780471462916328190,1780471462.916328192,True
1780471462926582117,1780471462.926582098,True
1780471462936945042,1780471462.936944962,True
1780471462946850726,1780471462.946850777,True
1780471462956190811,1780471462.956190825,True
1780471462966063534,1780471462.966063499,True
1780471462976182957,1780471462.976182938,True
1780471462986655904,1780471462.986655951,True
1780471462996179263,1780471462.996179342,True
1780471463006292671,1780471463.006292582,True
1780471463016338778,1780471463.016338825,True
1780471463026310130,1780471463.026310205,True
1780471463036001691,1780471463.036001682,True
1780471463046154332,1780471463.046154261,True
1780471463056347936,1780471463.056347847,True
1780471463066271989,1780471463.066272020,True
1780471463076402870,1780471463.076402903,True
1780471463086490868,1780471463.086490870,True
1780471463096356966,1780471463.096356869,True
1780471463106036366,1780471463.106036425,True
1780471463116243538,1780471463.116243601,True
1780471463126565597,1780471463.126565695,True
1780471463136254693,1780471463.136254787,True
1780471463146218237,1780471463.146218300,True
1780471463156327868,1780471463.156327963,True
1780471463166335990,1780471463.166336060,True
1780471463176025886,1780471463.176025867,True
1780471463186281541,1780471463.186281443,True
1780471463196538572,1780471463.196538687,True
1780471463206185395,1780471463.206185341,True
1780471463216881553,1780471463.216881514,True
1780471463226294443,1780471463.226294518,True
1780471463236136988,1780471463.236136913,True
1780471463246570925,1780471463.246570826,True
1780471463256567654,1780471463.256567717,True
1780471463265971295,1780471463.265971184,True
1780471463277220955,1780471463.277220964,True
1780471463286099832,1780471463.286099911,True
1780471463296587020,1780471463.296586990,True
1780471463306382362,1780471463.306382418,True
