bag_time_ns,bag_time_sec,stamp.sec,stamp.nanosec,level,name,msg,file,function,line
1780471461218688143,1780471461.218688250,1780471461,199247739,20,rosbag2_recorder,Press SPACE for pausing/resuming,./src/rosbag2_transport/recorder.cpp,Recorder,104
1780471461218747506,1780471461.218747616,1780471461,205775577,20,rosbag2_recorder,Listening for topics...,./src/rosbag2_transport/recorder.cpp,record,195
1780471461218771923,1780471461.218771935,1780471461,205816636,20,rosbag2_recorder,Event publisher thread: Starting,./src/rosbag2_transport/recorder.cpp,event_publisher_thread_main,215
1780471461218791573,1780471461.218791485,1780471461,210012317,20,rosbag2_recorder,Subscribed to topic '/rosout',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
1780471461218810326,1780471461.218810320,1780471461,212186258,20,rosbag2_recorder,Subscribed to topic '/parameter_events',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
1780471461218837527,1780471461.218837500,1780471461,213887053,20,rosbag2_recorder,Subscribed to topic '/events/write_split',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
1780471461218858104,1780471461.218858004,1780471461,217074104,20,rosbag2_recorder,Subscribed to topic '/cmd_vel',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
1780471461218877241,1780471461.218877316,1780471461,217737084,20,rosbag2_recorder,Recording...,./src/rosbag2_transport/recorder.cpp,record,209
1780471461221747859,1780471461.221747875,1780471453,306208563,20,laica_velocity_predictor,"Loadcell data received, but waiting for calibration done flag",/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,handleLoadCellValues,491
1780471461221812279,1780471461.221812248,1780471453,306354586,20,laica_velocity_predictor,Loadcell calibration done flag received; admittance can start zeroing,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,loadCellCalibrationDoneCallback,521
1780471461221837496,1780471461.221837521,1780471453,315632204,20,laica_velocity_predictor,Starting 3.00 s predictor force zeroing. Keep leash/loadcell relaxed.,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,updateForceZero,606
1780471461221857273,1780471461.221857309,1780471456,325616431,20,laica_velocity_predictor,Predictor force zeroing complete: offset=0.451511 from 302 samples,/home/artemis/Documents/LAICA_ws/src/laica_bringup/src/laica_velocity_predictor.cpp,updateForceZero,619
