bag_time_ns,bag_time_sec,header.stamp.sec,header.stamp.nanosec,header.frame_id,switch_1,switch_2
1780471462346359749,1780471462.346359730,1780471462,345572635,switch,False,False
1780471462356633645,1780471462.356633663,1780471462,355767070,switch,False,False
1780471462366076104,1780471462.366075993,1780471462,365809658,switch,False,False
1780471462376025439,1780471462.376025438,1780471462,375574822,switch,False,False
1780471462386224898,1780471462.386224985,1780471462,385582144,switch,False,False
1780471462396146103,1780471462.396146059,1780471462,395582361,switch,False,False
1780471462405998025,1780471462.405997992,1780471462,405585554,switch,False,False
1780471462416282257,1780471462.416282177,1780471462,415590796,switch,False,False
1780471462426086048,1780471462.426085949,1780471462,425687050,switch,False,False
1780471462436254242,1780471462.436254263,1780471462,435586366,switch,False,False
1780471462445965388,1780471462.445965290,1780471462,445583575,switch,False,False
1780471462456378203,1780471462.456378222,1780471462,455662132,switch,False,False
1780471462466261838,1780471462.466261864,1780471462,465579273,switch,False,False
1780471462476003513,1780471462.476003408,1780471462,475589507,switch,False,False
1780471462485944655,1780471462.485944748,1780471462,485584828,switch,False,False
1780471462496021868,1780471462.496021986,1780471462,495585333,switch,False,False
1780471462506419835,1780471462.506419897,1780471462,505687476,switch,False,False
1780471462516985074,1780471462.516985178,1780471462,515592712,switch,False,False
1780471462525951604,1780471462.525951624,1780471462,525597441,switch,False,False
1780471462536302528,1780471462.536302567,1780471462,535593210,switch,False,False
1780471462546731536,1780471462.546731472,1780471462,545597843,switch,False,False
1780471462556258448,1780471462.556258440,1780471462,555585804,switch,False,False
1780471462566203270,1780471462.566203356,1780471462,565589765,switch,False,False
1780471462576595701,1780471462.576595783,1780471462,575603839,switch,False,False
1780471462586465927,1780471462.586465836,1780471462,585593144,switch,False,False
1780471462596288118,1780471462.596288204,1780471462,595604882,switch,False,False
1780471462605980127,1780471462.605980158,1780471462,605594922,switch,False,False
1780471462616640284,1780471462.616640329,1780471462,615593443,switch,False,False
1780471462627286168,1780471462.627286196,1780471462,625635647,switch,False,False
1780471462636407202,1780471462.636407137,1780471462,635594326,switch,False,False
1780471462646591461,1780471462.646591425,1780471462,645615152,switch,False,False
1780471462656278605,1780471462.656278610,1780471462,655601545,switch,False,False
1780471462666357738,1780471462.666357756,1780471462,665630115,switch,False,False
1780471462676606641,1780471462.676606655,1780471462,675622844,switch,False,False
1780471462686298810,1780471462.686298847,1780471462,685648023,switch,False,False
1780471462696632741,1780471462.696632624,1780471462,695605677,switch,False,False
1780471462706185222,1780471462.706185341,1780471462,705603399,switch,False,False
1780471462716600917,1780471462.716600895,1780471462,715596511,switch,False,False
1780471462726217018,1780471462.726217031,1780471462,725605785,switch,False,False
1780471462736612744,1780471462.736612797,1780471462,735602482,switch,False,False
1780471462746484411,1780471462.746484518,1780471462,745604811,switch,False,False
1780471462756642780,1780471462.756642818,1780471462,755602692,switch,False,False
1780471462765986770,1780471462.765986681,1780471462,765592061,switch,False,False
1780471462776043982,1780471462.776043892,1780471462,775616055,switch,False,False
1780471462785989733,1780471462.785989761,1780471462,785596912,switch,False,False
1780471462796147878,1780471462.796147823,1780471462,795610441,switch,False,False
1780471462806252293,1780471462.806252241,1780471462,805635620,switch,False,False
1780471462816189051,1780471462.816189051,1780471462,815601403,switch,False,False
1780471462826841975,1780471462.826842070,1780471462,825607125,switch,False,False
1780471462836116937,1780471462.836117029,1780471462,835624719,switch,False,False
1780471462846046719,1780471462.846046686,1780471462,845606279,switch,False,False
1780471462856075513,1780471462.856075525,1780471462,855641442,switch,False,False
1780471462866177464,1780471462.866177559,1780471462,865606137,switch,False,False
1780471462876666988,1780471462.876667023,1780471462,875641396,switch,False,False
1780471462886553247,1780471462.886553288,1780471462,885706513,switch,False,False
1780471462896149698,1780471462.896149635,1780471462,895610053,switch,False,False
1780471462906012564,1780471462.906012535,1780471462,905605502,switch,False,False
