scene,mode,threshold_n,pct
1,admittance,10,40.7988590330148
1,admittance,15,18.507257231803543
1,admittance,20,5.641283862444384
1,admittance,25,3.452282836200305
1,admittance,30,2.1376894751343483
1,admittance,35,1.316445478455912
1,admittance,40,0.6550202147808551
1,keyboard,10,39.2334720069757
1,keyboard,15,27.444438951871415
1,keyboard,20,20.90709043803326
1,keyboard,25,14.642000837616559
1,keyboard,30,9.384168323740514
1,keyboard,35,5.680196642526386
1,keyboard,40,3.551311103096955
2,admittance,10,37.54446539680045
2,admittance,15,18.92188890306327
2,admittance,20,12.174520252753007
2,admittance,25,8.651881987254992
2,admittance,30,5.241354394048946
2,admittance,35,2.362412360644016
2,admittance,40,1.0382360957233223
2,keyboard,10,48.128316488634596
2,keyboard,15,24.936173904102628
2,keyboard,20,12.644843965439252
2,keyboard,25,8.618868019551632
2,keyboard,30,5.368553333082667
2,keyboard,35,3.7776139024863964
2,keyboard,40,2.1389198211108047
3,admittance,10,35.220643487506834
3,admittance,15,19.365148211199323
3,admittance,20,11.884098018008387
3,admittance,25,7.7994864855104415
3,admittance,30,4.509618339023891
3,admittance,35,2.231884071077437
3,admittance,40,0.6897602153469933
3,keyboard,10,84.5166066949966
3,keyboard,15,73.59335913228071
3,keyboard,20,62.15892458196988
3,keyboard,25,49.530702803481496
3,keyboard,30,38.625293554565076
3,keyboard,35,26.91985844065637
3,keyboard,40,18.639761102323835
4,admittance,10,38.22666325642454
4,admittance,15,16.41304557606936
4,admittance,20,7.123133057795676
4,admittance,25,3.4668517805052064
4,admittance,30,1.3754804345852374
4,admittance,35,0.8528455753807278
4,admittance,40,0.3318484841290998
4,keyboard,10,58.89618129978921
4,keyboard,15,45.43133865396219
4,keyboard,20,33.95674466784375
4,keyboard,25,23.40148566854915
4,keyboard,30,17.00556757165283
4,keyboard,35,11.03106551099324
4,keyboard,40,7.5965679463118745
5,admittance,10,58.779556317640285
5,admittance,15,44.074885936320854
5,admittance,20,30.7540348017347
5,admittance,25,20.571949424568338
5,admittance,30,13.0842743304819
5,admittance,35,8.172605940244745
5,admittance,40,4.9494090722078505
5,keyboard,10,56.361090259054095
5,keyboard,15,35.792434546106826
5,keyboard,20,21.16553645494603
5,keyboard,25,13.882708939299196
5,keyboard,30,9.623229025701326
5,keyboard,35,5.773531219552075
5,keyboard,40,3.199320739779682
