person,scene_label,mode,param_label,force_mean_abs,force_p95_abs,force_variance,force_gt10_pct,force_gt20_pct,force_gt30_pct,force_gt40_pct,best_abs_force_cmd_corr,odom_jerk_p95_abs
ANDY,3,admittance,B60,10.130611491775511,31.668047162126225,131.75508398929307,37.86937430876708,18.265315253806502,6.266233619990985,1.43533254330055,0.4483981274420542,223.70725625058543
ANDY,5,admittance,B60,10.099671905842738,25.743304371523163,168.5634919706457,43.06957241737064,13.735821949731509,1.9052122058080303,0.21796628102639465,0.10706348444324491,135.58711955550316
ANDY,5,admittance,B70,10.483338210280563,24.839486231788054,175.23416025550094,49.310390097760774,9.791820447150693,2.836295570850073,0.445776827194088,0.5471425050997826,126.57466186376571
ANDY,5,admittance,B90,14.217777384603302,54.07240757275745,408.7495079583945,38.274904272106454,23.543552159305413,15.744770866438317,10.060459280434191,0.5575087102186856,180.3200293226688
ANDY,5,keyboard,B60,18.473205750082368,37.23891467048736,389.35114334441874,68.86184375712365,47.40226962380064,23.770928768450283,2.3383287897711167,0.5210763832670302,196.84400726221958
ANDY,5,keyboard,B70,13.878141352757709,43.65883306895071,328.29244624932096,50.41247725253376,21.901099152139235,12.218321154825865,6.3663590979548825,0.5141369610723893,160.57403861932679
JH,3,admittance,B60,11.27008716811057,31.019972874172183,212.34655565421534,47.15834974659936,15.396321078100945,5.815952970497367,1.9395127281522384,0.5862449924004626,247.8120149554037
JH,3,admittance,B80,9.540623862756087,32.70058383443709,169.90915962998412,33.294886013538786,14.255501963589019,6.6828591921642415,1.8386103955111024,0.5836942610007863,229.39880672109587
JH,3,keyboard,B60,10.17467359571172,30.269982300332213,178.941751522309,38.59121016396297,14.352516237013806,5.342825114845978,1.18612101803993,0.5628285908570423,237.8533347813979
MH,3,admittance,B50M15,12.640975630382734,38.12698983388704,201.3991027935939,47.38290243510988,21.50749161217481,10.575042663218985,4.083438527533763,0.535677535918682,140.74983094765997
MH,3,admittance,B60,11.759968502666485,37.03146191229236,218.26246614543774,42.377722298899265,21.097959492754867,9.462261315513393,3.64698466587249,0.5077794968113155,151.18867116235765
MH,3,admittance,B80,13.175581028696124,38.96658861993354,274.4466912372063,49.16543728481769,22.990847930271336,10.563131233412118,4.34556407813766,0.6384468258797888,234.70032252990848
MH,3,keyboard,B50M15,13.40371021592335,35.99522556892075,281.21122055589126,53.10400273424307,21.23671946710269,8.140085796142484,3.0659442760264404,0.5390934544910634,228.9245710317172
MH,3,keyboard,B80,12.653005181507185,30.547956378356,249.93521544396418,56.19205404657814,18.368499050699487,5.208949218145377,1.6454899893962704,0.4144804502851582,215.80162273055126
