person,mode,param_label,force_mean_abs,force_mean_abs,force_mean_abs,force_p95_abs,force_p95_abs,force_p95_abs,force_variance,force_variance,force_variance,force_gt10_pct,force_gt10_pct,force_gt10_pct,force_gt20_pct,force_gt20_pct,force_gt20_pct,force_gt30_pct,force_gt30_pct,force_gt30_pct,force_gt40_pct,force_gt40_pct,force_gt40_pct,best_abs_force_cmd_corr,best_abs_force_cmd_corr,best_abs_force_cmd_corr,odom_jerk_p95_abs,odom_jerk_p95_abs,odom_jerk_p95_abs
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
ANDY,admittance,B60,10.115141698809126,0.02187759102016803,2,28.705675766824694,4.189425804021535,2,150.1592879799694,26.027474888295483,2,40.46947336306886,3.6770953461070346,2,16.000568601769004,3.202835430650487,2,4.085722912899508,3.083707814868515,2,0.8266494121634723,0.8608079392417763,2,0.27773080594264954,0.24136004071834732,2,179.6471879030443,62.3103462161782,2
ANDY,admittance,B70,10.483338210280563,,1,24.839486231788054,,1,175.23416025550094,,1,49.310390097760774,,1,9.791820447150693,,1,2.836295570850073,,1,0.445776827194088,,1,0.5471425050997826,,1,126.57466186376571,,1
ANDY,admittance,B90,14.217777384603302,,1,54.07240757275745,,1,408.7495079583945,,1,38.274904272106454,,1,23.543552159305413,,1,15.744770866438317,,1,10.060459280434191,,1,0.5575087102186856,,1,180.3200293226688,,1
ANDY,admittance,default,8.782118088036926,1.6844880401565347,6,26.097031760027267,7.983089310397983,6,142.17260218080688,73.57159717918418,6,32.513856508187494,6.659569506061625,6,9.511547183105789,5.75564444112064,6,3.6550238823436083,3.8495941649173697,6,1.2821097435753541,2.0295244827973704,6,0.502197798608809,0.11078799251570039,6,207.95816219301082,9.355026149783136,6
ANDY,keyboard,B60,18.473205750082368,,1,37.23891467048736,,1,389.35114334441874,,1,68.86184375712365,,1,47.40226962380064,,1,23.770928768450283,,1,2.3383287897711167,,1,0.5210763832670302,,1,196.84400726221958,,1
ANDY,keyboard,B70,13.878141352757709,,1,43.65883306895071,,1,328.29244624932096,,1,50.41247725253376,,1,21.901099152139235,,1,12.218321154825865,,1,6.3663590979548825,,1,0.5141369610723893,,1,160.57403861932679,,1
ANDY,keyboard,default,11.678969792520041,3.4275182861140028,6,29.880349819983177,8.087383206424272,6,199.90856792819181,98.48112651304294,6,47.7830582150145,19.171981046841612,6,18.175025773095342,11.518379336083497,6,4.9477028966757075,2.8294204198463078,6,1.9947896516104073,2.152481306598335,6,0.4779832189600435,0.14438839109250048,6,204.32420220269148,47.87549108339422,6
JH,admittance,B60,11.27008716811057,,1,31.019972874172183,,1,212.34655565421534,,1,47.15834974659936,,1,15.396321078100945,,1,5.815952970497367,,1,1.9395127281522384,,1,0.5862449924004626,,1,247.8120149554037,,1
JH,admittance,B80,9.540623862756087,,1,32.70058383443709,,1,169.90915962998412,,1,33.294886013538786,,1,14.255501963589019,,1,6.6828591921642415,,1,1.8386103955111024,,1,0.5836942610007863,,1,229.39880672109587,,1
JH,admittance,default,11.964881676682893,4.273895673107204,6,32.54651256589293,11.993993573526005,6,187.26108813131358,75.0939333785999,6,45.38725783944819,11.6995718096365,6,17.729855709531133,13.691880690001398,6,8.466799017096948,8.868675037675043,6,3.5175057392680924,5.157644569583228,6,0.4400971104484834,0.12163186708005178,6,218.1634972053054,33.21583605655518,6
JH,keyboard,B60,10.17467359571172,,1,30.269982300332213,,1,178.941751522309,,1,38.59121016396297,,1,14.352516237013806,,1,5.342825114845978,,1,1.18612101803993,,1,0.5628285908570423,,1,237.8533347813979,,1
JH,keyboard,default,15.324385600630706,5.736258331327197,6,38.82627092824652,9.028647817938728,6,245.2993567999681,24.67649785277767,6,55.87074953192718,15.667044019917627,6,28.607780781554293,17.801931171086906,6,14.5194094846809,12.460021591036563,6,6.097877629226665,6.5054124708306516,6,0.6223096481705577,0.07367767960525566,6,207.57780555846716,44.12442442897152,6
MH,admittance,B50M15,12.640975630382734,,1,38.12698983388704,,1,201.3991027935939,,1,47.38290243510988,,1,21.50749161217481,,1,10.575042663218985,,1,4.083438527533763,,1,0.535677535918682,,1,140.74983094765997,,1
MH,admittance,B60,11.759968502666485,,1,37.03146191229236,,1,218.26246614543774,,1,42.377722298899265,,1,21.097959492754867,,1,9.462261315513393,,1,3.64698466587249,,1,0.5077794968113155,,1,151.18867116235765,,1
MH,admittance,B80,13.175581028696124,,1,38.96658861993354,,1,274.4466912372063,,1,49.16543728481769,,1,22.990847930271336,,1,10.563131233412118,,1,4.34556407813766,,1,0.6384468258797888,,1,234.70032252990848,,1
MH,keyboard,B50M15,13.40371021592335,,1,35.99522556892075,,1,281.21122055589126,,1,53.10400273424307,,1,21.23671946710269,,1,8.140085796142484,,1,3.0659442760264404,,1,0.5390934544910634,,1,228.9245710317172,,1
MH,keyboard,B80,12.653005181507185,,1,30.547956378356,,1,249.93521544396418,,1,56.19205404657814,,1,18.368499050699487,,1,5.208949218145377,,1,1.6454899893962704,,1,0.4144804502851582,,1,215.80162273055126,,1
