bag,person,scene_label,scene,mode,B,M,param_label,force_topic,cmd_topic,ref_topic,duration_sec,force_mean_abs,force_median_abs,force_p95_abs,force_max_abs,force_variance,force_std,force_impulse_per_s,force_gt10_pct,force_gt15_pct,force_gt20_pct,force_gt25_pct,force_gt30_pct,force_gt35_pct,force_gt40_pct,zero_lag_force_cmd_corr,best_lag_sec,best_lag_force_cmd_corr,best_abs_force_cmd_corr,odom_mean_vx,odom_std_vx,odom_accel_p95_abs,odom_jerk_p95_abs,is_preferred_admittance
ANDY_scene3_admit_B60,ANDY,3,3.0,admittance,60.0,,B60,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,37.64082598686218,10.130611491775511,6.321959362126245,31.668047162126225,84.91150163787376,131.75508398929307,11.478461743164589,10.130449167061846,37.86937430876708,26.97700287081386,18.265315253806502,10.987877634103068,6.266233619990985,3.290808784706294,1.43533254330055,-0.3568691731588234,-0.25999999999999845,-0.4483981274420542,0.4483981274420542,0.5774362862126351,0.1856456786402195,2.710192024235834,223.70725625058543,True
ANDY_scene5_admit_B60,ANDY,5,5.0,admittance,60.0,,B60,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,36.71931457519531,10.099671905842738,8.396774771523186,25.743304371523163,43.631491228476804,168.5634919706457,12.983200374739878,10.102942019844367,43.06957241737064,24.83821157730961,13.735821949731509,5.8821174116866075,1.9052122058080303,0.5438965317256137,0.21796628102639465,-0.047860673420087235,1.420000000000003,0.10706348444324491,0.10706348444324491,0.6099103431906908,0.20476745739201874,1.805316405683155,135.58711955550316,True
JH_scene1_admit,JH,1,1.0,admittance,,,default,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,36.50001764297485,9.280608452198921,8.207342827814571,20.693260586092713,55.59663517218542,138.13793219633936,11.753209442375276,9.280507579332244,40.7988590330148,18.507257231803543,5.641283862444384,3.452282836200305,2.1376894751343483,1.316445478455912,0.6550202147808551,-0.23071724776362126,-0.49999999999999867,-0.34803559122334754,0.34803559122334754,0.5553072961879035,0.1871255649226519,2.3370001478263944,196.29153881515268,True
JH_scene2_admit,JH,2,2.0,admittance,,,default,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,34.659903049468994,9.696174653381462,7.792794843853821,30.263135956146165,56.23763915614618,167.32054121564468,12.935244149827428,9.696825117676886,37.54446539680045,18.92188890306327,12.174520252753007,8.651881987254992,5.241354394048946,2.362412360644016,1.0382360957233223,-0.3290106882617282,1.0400000000000027,-0.4644028171008513,0.4644028171008513,0.564426457900155,0.1926084498003873,2.525286197883392,202.72311234409165,True
JH_scene3_admit_B80,JH,3,3.0,admittance,80.0,,B80,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,35.901135206222534,9.540623862756087,5.796936165562913,32.70058383443709,60.46975083443708,169.90915962998412,13.034920775746361,9.540967094178415,33.294886013538786,21.717329399462706,14.255501963589019,9.741408648831658,6.6828591921642415,4.180147946925534,1.8386103955111024,-0.48920159607930175,-0.37999999999999856,-0.5836942610007863,0.5836942610007863,0.5762491009845904,0.18557985736326585,2.864757549769374,229.39880672109587,True
JH_scene3_admit,JH,3,3.0,admittance,,,default,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,37.680134296417236,9.376598197629477,7.355399970099664,29.08137042990033,49.88135402990035,153.76623900484964,12.400251570224277,9.376849081674804,35.220643487506834,19.365148211199323,11.884098018008387,7.7994864855104415,4.509618339023891,2.231884071077437,0.6897602153469933,-0.31186655158116844,-0.35999999999999854,-0.41337670444958446,0.41337670444958446,0.5767402036187136,0.20646137413005525,3.110520870256498,274.908013830949,True
JH_scene4_admit,JH,4,4.0,admittance,,,default,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,42.08038282394409,8.921565536241033,7.830318076411958,22.60657207641196,52.18738707641196,132.68904284145069,11.519073002696471,8.919616848992808,38.22666325642454,16.41304557606936,7.123133057795676,3.4668517805052064,1.3754804345852374,0.8528455753807278,0.3318484841290998,-0.4212796610381967,-0.45999999999999863,-0.5915909487270729,0.5915909487270729,0.5402763247931517,0.17699445795163532,2.413723101156252,196.92461587856224,True
JH_scene5_admit,JH,5,5.0,admittance,,,default,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,49.66038155555725,15.386220403085707,12.901243311258277,39.85658406125827,69.11894531125829,198.96922952946807,14.105645307091345,15.385844990535588,58.779556317640285,44.074885936320854,30.7540348017347,20.571949424568338,13.0842743304819,8.172605940244745,4.9494090722078505,-0.4067951874716696,-0.37999999999999856,-0.5523284816687631,0.5523284816687631,0.4748269841436621,0.16027238969395155,2.3502038484834213,195.32860743547957,True
JH_sceneIntend_admit,JH,Intend,,admittance,,,default,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,31.23428177833557,19.128122817560754,14.652869335548171,52.778152285548174,78.73991733554817,332.68354400012913,18.23961468891624,19.13210524391544,61.75335954530227,49.175939730621835,38.80206426445065,31.177501756865688,24.452377129307365,19.140278807106753,13.440760353420433,0.0910301548950308,-1.1799999999999993,0.27084811952128096,0.27084811952128096,0.6496573895577208,0.20658824722846791,2.8458386460794136,242.80509492759734,True
MH_scene3_admit_B50M15,MH,3,3.0,admittance,50.0,15.0,B50M15,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,40.640127182006836,12.640975630382734,9.168928833887033,38.12698983388704,86.70180183388703,201.3991027935939,14.191515169057668,12.642475966962582,47.38290243510988,31.54257767647085,21.50749161217481,15.054702792196002,10.575042663218985,6.686250079005961,4.083438527533763,-0.3891956992724975,-0.2999999999999985,-0.535677535918682,0.535677535918682,0.5683258196649023,0.16177755454604523,1.9391985646665588,140.74983094765997,True
