bag,person,mode,speed,trial,force_topic,cmd_topic,sample_count,zero_lag_corr,best_lag_sec,best_lag_corr,best_abs_lag_corr
ad_jh_01,jh,admittance,slow,1,/laica/debug/zeroed_force,/cmd_vel,1152,0.4582211933132952,0.3800000000000021,0.6907159560666976,0.6907159560666976
ad_jh_02,jh,admittance,fast,2,/laica/debug/zeroed_force,/cmd_vel,572,0.8775084550839218,0.3800000000000021,0.9353030898947313,0.9353030898947313
ad_jh_03,jh,admittance,slow,3,/laica/debug/zeroed_force,/cmd_vel,1159,0.2748820089355059,0.3800000000000021,0.539065570894322,0.539065570894322
ad_jh_04,jh,admittance,fast,4,/laica/debug/zeroed_force,/cmd_vel,539,0.6731802518244892,0.3400000000000021,0.8145115139345652,0.8145115139345652
ad_jh_05,jh,admittance,slow,5,/laica/debug/zeroed_force,/cmd_vel,1136,0.6522402423892324,0.40000000000000213,0.821261936733898,0.821261936733898
ad_jh_06,jh,admittance,fast,6,/laica/debug/zeroed_force,/cmd_vel,591,0.7137481837943978,0.20000000000000195,0.7813097139857993,0.7813097139857993
ad_jh_07,jh,admittance,slow,7,/laica/debug/zeroed_force,/cmd_vel,975,0.5312185930717982,0.3800000000000021,0.7393267275654039,0.7393267275654039
ad_jh_08,jh,admittance,fast,8,/laica/debug/zeroed_force,/cmd_vel,442,0.7005841518206677,0.240000000000002,0.8119598073955905,0.8119598073955905
ad_jh_09,jh,admittance,slow,9,/laica/debug/zeroed_force,/cmd_vel,940,0.5707451994371809,0.3600000000000021,0.7274093991540199,0.7274093991540199
ad_jh_10,jh,admittance,fast,10,/laica/debug/zeroed_force,/cmd_vel,401,0.39734557553497496,0.44000000000000217,0.6400523109781996,0.6400523109781996
ad_jh_11,jh,admittance,slow,11,/laica/debug/zeroed_force,/cmd_vel,860,0.3976761959148552,0.5000000000000022,0.6079080347352448,0.6079080347352448
ad_jh_12,jh,admittance,fast,12,/laica/debug/zeroed_force,/cmd_vel,446,0.5186532099103707,0.20000000000000195,0.5700891839702904,0.5700891839702904
ad_jh_13,jh,admittance,slow,13,/laica/debug/zeroed_force,/cmd_vel,1099,0.506802899107172,0.40000000000000213,0.7394774465745452,0.7394774465745452
ad_jh_14,jh,admittance,fast,14,/laica/debug/zeroed_force,/cmd_vel,538,0.6565680228875577,0.3600000000000021,0.8531345943954749,0.8531345943954749
ad_jh_15,jh,admittance,slow,15,/laica/debug/zeroed_force,/cmd_vel,850,0.44415306130049476,0.42000000000000215,0.6588883375244169,0.6588883375244169
ad_jh_16,jh,admittance,fast,16,/laica/debug/zeroed_force,/cmd_vel,625,0.702049235249883,0.5200000000000022,0.8956366314326498,0.8956366314326498
ad_jh_17,jh,admittance,slow,17,/laica/debug/zeroed_force,/cmd_vel,1079,0.7709113617149346,0.40000000000000213,0.8909949586855208,0.8909949586855208
ad_jh_18,jh,admittance,fast,18,/laica/debug/zeroed_force,/cmd_vel,389,0.5540715479992033,0.18000000000000194,0.5641585992694047,0.5641585992694047
ad_jh_19,jh,admittance,slow,19,/laica/debug/zeroed_force,/cmd_vel,821,0.22419416627369562,0.3800000000000021,0.41981487585878086,0.41981487585878086
ad_jh_20,jh,admittance,fast,20,/laica/debug/zeroed_force,/cmd_vel,329,0.11758309881318474,0.5600000000000023,0.3562459555299391,0.3562459555299391
key_jh_01,jh,keyboard,slow,1,/laica/teleop_debug/zeroed_force,/cmd_vel,612,-0.19651253675388614,-2.0,-0.3934324719972875,0.3934324719972875
key_jh_02,jh,keyboard,fast,2,/laica/teleop_debug/zeroed_force,/cmd_vel,297,0.2416229201627174,0.08000000000000185,0.24182437185262087,0.24182437185262087
key_jh_03,jh,keyboard,slow,3,/laica/teleop_debug/zeroed_force,/cmd_vel,606,-0.16007962294766737,1.320000000000003,-0.2070334125823927,0.2070334125823927
key_jh_04,jh,keyboard,fast,4,/laica/teleop_debug/zeroed_force,/cmd_vel,237,,,,
key_jh_05,jh,keyboard,slow,5,/laica/teleop_debug/zeroed_force,/cmd_vel,570,-0.09851448090095936,-0.5399999999999987,-0.1471294005079897,0.1471294005079897
key_jh_06,jh,keyboard,fast,6,/laica/teleop_debug/zeroed_force,/cmd_vel,167,,,,
key_jh_07,jh,keyboard,slow,7,/laica/teleop_debug/zeroed_force,/cmd_vel,727,-0.6003141002780409,-0.7399999999999989,-0.6086305429648348,0.6086305429648348
key_jh_08,jh,keyboard,fast,8,/laica/teleop_debug/zeroed_force,/cmd_vel,215,,,,
key_jh_09,jh,keyboard,slow,9,/laica/teleop_debug/zeroed_force,/cmd_vel,605,-0.358711423069994,-2.0,-0.4900534631218762,0.4900534631218762
key_jh_10,jh,keyboard,fast,10,/laica/teleop_debug/zeroed_force,/cmd_vel,187,,,,
