bag,person,mode,speed,trial,force_topic,sample_count,force_variance,force_std,force_mean_abs
ad_jh_01,jh,admittance,slow,1,/laica/debug/zeroed_force,1152,83.57650162738972,9.142018465710388,13.568609736892931
ad_jh_02,jh,admittance,fast,2,/laica/debug/zeroed_force,572,291.6535945919081,17.07786856114978,13.182431137625622
ad_jh_03,jh,admittance,slow,3,/laica/debug/zeroed_force,1159,98.39064238362144,9.919205733506159,13.325660119825267
ad_jh_04,jh,admittance,fast,4,/laica/debug/zeroed_force,539,184.4723791642657,13.582060932136393,14.42004172950276
ad_jh_05,jh,admittance,slow,5,/laica/debug/zeroed_force,1136,125.81904400771575,11.21690884369289,12.606286630079893
ad_jh_06,jh,admittance,fast,6,/laica/debug/zeroed_force,591,137.72064730948702,11.735444061026708,10.913186216362831
ad_jh_07,jh,admittance,slow,7,/laica/debug/zeroed_force,975,91.16086220394735,9.54781976180674,9.710731131660276
ad_jh_08,jh,admittance,fast,8,/laica/debug/zeroed_force,442,95.56563710789213,9.775767852598184,8.202072080591092
ad_jh_09,jh,admittance,slow,9,/laica/debug/zeroed_force,940,84.94246693421583,9.21642376056005,8.282536861363957
ad_jh_10,jh,admittance,fast,10,/laica/debug/zeroed_force,401,309.5615076606302,17.594360109439336,13.223532467853547
ad_jh_11,jh,admittance,slow,11,/laica/debug/zeroed_force,860,63.1298447882401,7.945429175836892,8.203301679862928
ad_jh_12,jh,admittance,fast,12,/laica/debug/zeroed_force,446,128.73908054808356,11.346324539166133,10.009302407566894
ad_jh_13,jh,admittance,slow,13,/laica/debug/zeroed_force,1099,71.08044246550625,8.430921804020379,10.744443712686556
ad_jh_14,jh,admittance,fast,14,/laica/debug/zeroed_force,538,229.02790250440503,15.133667847035795,11.517225204343637
ad_jh_15,jh,admittance,slow,15,/laica/debug/zeroed_force,850,76.42397316269864,8.742080596900182,7.113805118753176
ad_jh_16,jh,admittance,fast,16,/laica/debug/zeroed_force,625,992.2516220590916,31.500025746959185,24.933861291226577
ad_jh_17,jh,admittance,slow,17,/laica/debug/zeroed_force,1079,211.40918273726035,14.539916875183996,11.701719446140297
ad_jh_18,jh,admittance,fast,18,/laica/debug/zeroed_force,389,1173.4226523573384,34.255257295156,22.84219571595965
ad_jh_19,jh,admittance,slow,19,/laica/debug/zeroed_force,821,48.85976027225334,6.989975698974449,5.402046065789632
ad_jh_20,jh,admittance,fast,20,/laica/debug/zeroed_force,329,987.6471139966052,31.426853390000808,19.272958541760495
key_jh_01,jh,keyboard,slow,1,/laica/teleop_debug/zeroed_force,612,140.8856611254819,11.869526575457082,15.081642354982078
key_jh_02,jh,keyboard,fast,2,/laica/teleop_debug/zeroed_force,297,582.4473033465247,24.133945043165337,18.347524776745193
key_jh_03,jh,keyboard,slow,3,/laica/teleop_debug/zeroed_force,606,341.2845720465636,18.473888925901974,14.04560568743348
key_jh_04,jh,keyboard,fast,4,/laica/teleop_debug/zeroed_force,237,871.6828735535223,29.52427600388403,23.040202053456735
key_jh_05,jh,keyboard,slow,5,/laica/teleop_debug/zeroed_force,570,166.0529271987556,12.886152536686643,18.18605986008196
key_jh_06,jh,keyboard,fast,6,/laica/teleop_debug/zeroed_force,167,499.54408436151806,22.35048286640622,16.21865704374929
key_jh_07,jh,keyboard,slow,7,/laica/teleop_debug/zeroed_force,727,216.33554645475326,14.708349548972286,31.708265908502845
key_jh_08,jh,keyboard,fast,8,/laica/teleop_debug/zeroed_force,215,1166.3575634716988,34.151977445994234,28.77096044070949
key_jh_09,jh,keyboard,slow,9,/laica/teleop_debug/zeroed_force,605,376.16563453999237,19.3949899340008,17.789762395811792
key_jh_10,jh,keyboard,fast,10,/laica/teleop_debug/zeroed_force,187,109.420977910806,10.460448265289877,11.426177490920407
key_jh_11,jh,keyboard,slow,11,/laica/teleop_debug/zeroed_force,587,118.18784187635208,10.871423176215343,17.126372955063978
key_jh_12,jh,keyboard,fast,12,/laica/teleop_debug/zeroed_force,141,1064.3956715025047,32.62507734094288,43.34071674454601
key_jh_13,jh,keyboard,slow,13,/laica/teleop_debug/zeroed_force,469,236.33364789367306,15.37314697430793,17.52358015924028
key_jh_14,jh,keyboard,fast,14,/laica/teleop_debug/zeroed_force,153,1353.971551677631,36.79635242354371,28.130092192617823
key_jh_15,jh,keyboard,slow,15,/laica/teleop_debug/zeroed_force,452,144.78967470269228,12.03285812692447,20.173656377647877
key_jh_16,jh,keyboard,fast,16,/laica/teleop_debug/zeroed_force,296,1017.7084766508153,31.901543483831865,22.04539191357125
key_jh_17,jh,keyboard,slow,17,/laica/teleop_debug/zeroed_force,525,104.02934245766835,10.199477558074646,10.935257994349584
key_jh_18,jh,keyboard,fast,18,/laica/teleop_debug/zeroed_force,269,813.752011025976,28.526338899795327,23.496181587253005
key_jh_19,jh,keyboard,slow,19,/laica/teleop_debug/zeroed_force,550,762.2259976586962,27.608440695894004,27.97246976288364
key_jh_20,jh,keyboard,fast,20,/laica/teleop_debug/zeroed_force,195,2102.226527112737,45.8500439161484,27.24834534919061
